R,G,B,Color
249,204,224,Pink
183,93,42,Red
48,95,198,Blue
97,193,215,Blue
40,207,186,Green
128,44,176,Purple
219,111,35,Orange
198,177,51,Yellow
73,51,153,Blue
70,1,40,Red
198,97,106,Red
155,220,129,Green
202,50,12,Red
97,112,82,Green
171,47,174,Pink
25,199,248,Blue
64,81,108,Blue
191,92,251,Purple
49,23,213,Blue
251,28,221,Pink
27,146,15,Green
247,41,239,Pink
127,50,173,Purple
195,8,153,Pink
155,242,42,Green
112,214,42,Green
79,174,191,Blue
27,77,250,Blue
122,31,43,Red
209,133,163,Pink
149,84,160,Purple
13,7,122,Blue
198,83,237,Purple
240,46,5,Red
138,139,83,Yellow
179,210,247,Blue
212,87,237,Pink
184,154,81,Yellow
156,137,77,Yellow
235,117,11,Orange
71,184,83,Green
47,112,71,Green
206,142,61,Orange
114,35,22,Red
187,9,34,Red
126,33,40,Red
125,216,142,Green
188,90,0,Orange
235,37,209,Pink
217,227,153,Yellow
101,195,233,Blue
9,47,13,Green
0,85,238,Blue
208,251,156,Green
193,235,87,Green
22,162,192,Blue
129,140,202,Purple
20,121,170,Blue
171,145,175,Pink
201,122,66,Orange
55,221,17,Green
230,126,71,Orange
215,220,227,Gray
43,244,45,Green
174,208,122,Green
220,207,130,Yellow
100,204,28,Green
120,177,212,Blue
9,16,66,Blue
172,187,214,Blue
161,196,249,Blue
123,94,157,Purple
154,30,153,Pink
54,53,149,Blue
81,70,145,Blue
147,160,11,Yellow
148,32,0,Red
97,219,218,Blue
135,57,9,Red
187,88,44,Red
98,75,172,Purple
126,130,97,Yellow
79,191,211,Blue
136,18,151,Purple
81,105,57,Green
130,162,227,Blue
83,204,245,Blue
31,125,60,Green
23,198,196,Blue
244,73,157,Pink
207,172,1,Orange
129,244,141,Green
20,7,153,Blue
53,228,85,Green
237,37,116,Pink
125,66,140,Purple
121,242,56,Green
190,191,22,Yellow
127,133,105,Green
36,206,30,Green
114,214,188,Green
36,239,125,Green
157,72,134,Purple
182,45,84,Red
213,25,143,Pink
84,56,233,Blue
208,181,46,Yellow
192,254,5,Green
32,142,43,Green
193,220,212,Green
108,176,186,Blue
132,13,26,Red
190,238,229,Blue
88,114,5,Green
196,51,11,Red
243,71,233,Pink
82,174,145,Green
147,41,100,Pink
113,207,90,Green
145,16,243,Purple
177,160,221,Purple
60,78,248,Blue
6,187,223,Blue
35,231,190,Green
70,32,170,Blue
110,154,114,Green
177,202,3,Yellow
206,13,230,Pink
240,173,111,Orange
148,87,177,Purple
143,205,223,Blue
115,195,113,Green
120,180,186,Blue
144,253,29,Green
253,34,97,Pink
103,153,249,Blue
31,53,97,Blue
26,227,83,Green
13,139,208,Blue
84,57,179,Purple
255,1,12,Red
166,155,75,Yellow
246,152,166,Pink
162,55,183,Purple
107,93,26,Yellow
115,193,67,Green
187,161,103,Yellow
251,149,113,Orange
71,255,106,Green
118,45,247,Purple
138,30,244,Purple
174,93,23,Orange
207,101,252,Pink
92,227,73,Green
88,178,133,Green
96,247,71,Green
169,37,232,Pink
40,167,120,Green
111,238,160,Green
88,189,9,Green
89,27,246,Blue
144,196,97,Green
23,79,188,Blue
12,188,74,Green
153,183,138,Green
183,207,2,Yellow
29,243,75,Green
82,45,129,Purple
87,33,142,Purple
168,226,132,Green
19,249,8,Green
73,245,195,Green
20,167,192,Blue
170,49,77,Red
6,206,140,Green
69,236,29,Green
6,134,144,Blue
227,190,185,Pink
124,138,250,Blue
11,14,182,Blue
2,38,48,Blue
74,175,248,Blue
22,101,99,Green
194,241,149,Green
167,206,32,Green
195,204,91,Yellow
43,222,44,Green
62,101,12,Green
159,231,171,Green
144,77,223,Purple
250,152,156,Pink
111,170,242,Blue
161,125,14,Yellow
124,80,178,Purple
68,173,249,Blue
84,239,57,Green
12,161,10,Green
29,37,61,Blue
104,183,101,Green
51,4,105,Blue
149,219,237,Blue
148,155,159,Gray
4,162,135,Green
81,247,157,Green
142,212,255,Blue
